date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:29	6153/6153	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226597b5f6-1809%22	https://hanoitourist.vn/images/icon-search-2.svg	D:/FPOLY/cloneWebTour/hanoitourist.vn/images/icon-search-2.svg	(from https://hanoitourist.vn/)
13:30:29	1847177/1847177	---M--	200	added ('OK')	image/jpeg	etag:%2265a0f5f7-1c2f89%22	https://hanoitourist.vn/sites/default/files/2024-01/banner%20chau%20au%20web.jpg	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024-01/banner%20chau%20au%20web.jpg	(from https://hanoitourist.vn/)
13:30:29	2930/2930	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226597b60e-b72%22	https://hanoitourist.vn/images/icon-search-3.svg	D:/FPOLY/cloneWebTour/hanoitourist.vn/images/icon-search-3.svg	(from https://hanoitourist.vn/)
13:30:30	34512/34512	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:49%20GMT	https://hanoitourist.vn/visa	D:/FPOLY/cloneWebTour/hanoitourist.vn/visa.html	(from https://hanoitourist.vn/)
13:30:30	1764/1764	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226597b61d-6e4%22	https://hanoitourist.vn/images/icon-search-4.svg	D:/FPOLY/cloneWebTour/hanoitourist.vn/images/icon-search-4.svg	(from https://hanoitourist.vn/)
13:30:30	3261071/3261071	---M--	200	added ('OK')	image/jpeg	etag:%2265d86017-31c28f%22	https://hanoitourist.vn/sites/default/files/2024-02/Cover%20web_1.jpg	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024-02/Cover%20web_1.jpg	(from https://hanoitourist.vn/)
13:30:31	104998/104998	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:51%20GMT	https://hanoitourist.vn/tour-bangkok-pattaya	D:/FPOLY/cloneWebTour/hanoitourist.vn/tour-bangkok-pattaya.html	(from https://hanoitourist.vn/)
13:30:31	2752335/2752335	---M--	200	added ('OK')	image/png	etag:%2265e833c8-29ff4f%22	https://hanoitourist.vn/sites/default/files/2024/03/1_4.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/03/1_4.png	(from https://hanoitourist.vn/)
13:30:32	108935/108935	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:52%20GMT	https://hanoitourist.vn/bali-kham-pha-hon-dao-thien-duong	D:/FPOLY/cloneWebTour/hanoitourist.vn/bali-kham-pha-hon-dao-thien-duong.html	(from https://hanoitourist.vn/)
13:30:32	57589/57589	---M--	200	added ('OK')	image/jpeg	etag:%22659e018e-e0f5%22	https://hanoitourist.vn/sites/default/files/2024/01/ng-truong-lam-vien-da-lat-thanh-dia-chup-hinh-ly-tuong-165613776635552_f6326aaed7de40d69f3ef291fd11d64c_master.jpg	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/01/ng-truong-lam-vien-da-lat-thanh-dia-chup-hinh-ly-tuong-165613776635552_f6326aaed7de40d69f3ef291fd11d64c_master.jpg	(from https://hanoitourist.vn/)
13:30:33	4368051/4368051	---M--	200	added ('OK')	image/png	etag:%22659bf024-42a6b3%22	https://hanoitourist.vn/sites/default/files/2024/01/1_15.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/01/1_15.png	(from https://hanoitourist.vn/)
13:30:33	77835/77835	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:53%20GMT	https://hanoitourist.vn/da-lat-thanh-pho-hoa-hai-dau	D:/FPOLY/cloneWebTour/hanoitourist.vn/da-lat-thanh-pho-hoa-hai-dau.html	(from https://hanoitourist.vn/)
13:30:34	44307/44307	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:54%20GMT	https://hanoitourist.vn/tour-trong-nuoc?km%5B7%5D=7	D:/FPOLY/cloneWebTour/hanoitourist.vn/tour-trong-nuoc0924.html	(from https://hanoitourist.vn/)
13:30:35	2752335/2752335	---M--	200	added ('OK')	image/png	etag:%22659b72ad-29ff4f%22	https://hanoitourist.vn/sites/default/files/2024/01/1_2.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/01/1_2.png	(from https://hanoitourist.vn/)
13:30:35	99654/99654	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:55%20GMT	https://hanoitourist.vn/thai-lan-bangkok-pattaya-banh-phu-vang-bay-sang	D:/FPOLY/cloneWebTour/hanoitourist.vn/thai-lan-bangkok-pattaya-banh-phu-vang-bay-sang.html	(from https://hanoitourist.vn/)
13:30:36	481/481	---M--	200	added ('OK')	image/png	etag:%221e1-60c34ca3b98c0%22	https://hanoitourist.vn/sites/default/files/2023-12/plane_0.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2023-12/plane_0.png	(from https://hanoitourist.vn/)
13:30:36	7614/7614	---M--	200	added ('OK')	image/png	etag:%22658e2548-1dbe%22	https://hanoitourist.vn/sites/default/files/2023-12/image_processing20210616-17152-1ti91jz.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2023-12/image_processing20210616-17152-1ti91jz.png	(from https://hanoitourist.vn/)
13:30:36	48759/48759	---M--	200	added ('OK')	image/png	etag:%22658e24ec-be77%22	https://hanoitourist.vn/sites/default/files/2023-12/boat-159095_960_720.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2023-12/boat-159095_960_720.png	(from https://hanoitourist.vn/)
13:30:37	105202/105202	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:57%20GMT	https://hanoitourist.vn/tour-da-nang-ba-na-hue-1	D:/FPOLY/cloneWebTour/hanoitourist.vn/tour-da-nang-ba-na-hue-1.html	(from https://hanoitourist.vn/)
13:30:38	3224982/3224982	---M--	200	added ('OK')	image/png	etag:%2265d81ad9-313596%22	https://hanoitourist.vn/sites/default/files/2024/02/1_10.png	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/02/1_10.png	(from https://hanoitourist.vn/)
13:30:38	648318/648318	---M--	200	added ('OK')	image/jpeg	etag:%2265bb5f51-9e47e%22	https://hanoitourist.vn/sites/default/files/2024/02/b%e1%ba%afc%20kinh%201.jpg	D:/FPOLY/cloneWebTour/hanoitourist.vn/sites/default/files/2024/02/b%e1%ba%afc%20kinh%201.jpg	(from https://hanoitourist.vn/)
13:30:39	105220/105220	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:29:58%20GMT	https://hanoitourist.vn/tour-bac-kinh-hang-chau-thuong-hai	D:/FPOLY/cloneWebTour/hanoitourist.vn/tour-bac-kinh-hang-chau-thuong-hai.html	(from https://hanoitourist.vn/)
